<p style="font-weight: 700">Name the item, effects, and abilities:</p><br /><img src="dota_deck_ascetics_cap_icon.png"/>;<img src="dota_deck_ascetics_cap_infobox.png" style="padding: 5px"/><img src="dota_deck_ascetics_cap_ability_1.png" style="padding: 5px"/><br /><a href="https://dota2.fandom.com/wiki/Ascetic%27s_Cap" style="font-weight: 700">Wiki Page</a>;Dota::Items::Neutral::Tier 4
<p style="font-weight: 700">Name the item, effects, and abilities:</p><br /><img src="dota_deck_flicker_icon.png"/>;<img src="dota_deck_flicker_infobox.png" style="padding: 5px"/><img src="dota_deck_flicker_ability_1.png" style="padding: 5px"/><br /><a href="https://dota2.fandom.com/wiki/Flicker" style="font-weight: 700">Wiki Page</a>;Dota::Items::Neutral::Tier 4
<p style="font-weight: 700">Name the item, effects, and abilities:</p><br /><img src="dota_deck_ninja_gear_icon.png"/>;<img src="dota_deck_ninja_gear_infobox.png" style="padding: 5px"/><img src="dota_deck_ninja_gear_ability_1.png" style="padding: 5px"/><br /><a href="https://dota2.fandom.com/wiki/Ninja_Gear" style="font-weight: 700">Wiki Page</a>;Dota::Items::Neutral::Tier 4
<p style="font-weight: 700">Name the item, effects, and abilities:</p><br /><img src="dota_deck_pentaedged_sword_icon.png"/>;<img src="dota_deck_pentaedged_sword_infobox.png" style="padding: 5px"/><img src="dota_deck_pentaedged_sword_ability_1.png" style="padding: 5px"/><br /><a href="https://dota2.fandom.com/wiki/Penta-Edged_Sword" style="font-weight: 700">Wiki Page</a>;Dota::Items::Neutral::Tier 4
<p style="font-weight: 700">Name the item, effects, and abilities:</p><br /><img src="dota_deck_spell_prism_icon.png"/>;<img src="dota_deck_spell_prism_infobox.png" style="padding: 5px"/><img src="dota_deck_spell_prism_ability_1.png" style="padding: 5px"/><br /><a href="https://dota2.fandom.com/wiki/Spell_Prism" style="font-weight: 700">Wiki Page</a>;Dota::Items::Neutral::Tier 4
<p style="font-weight: 700">Name the item, effects, and abilities:</p><br /><img src="dota_deck_stormcrafter_icon.png"/>;<img src="dota_deck_stormcrafter_infobox.png" style="padding: 5px"/><img src="dota_deck_stormcrafter_ability_1.png" style="padding: 5px"/><img src="dota_deck_stormcrafter_ability_2.png" style="padding: 5px"/><br /><a href="https://dota2.fandom.com/wiki/Stormcrafter" style="font-weight: 700">Wiki Page</a>;Dota::Items::Neutral::Tier 4
<p style="font-weight: 700">Name the item, effects, and abilities:</p><br /><img src="dota_deck_telescope_icon.png"/>;<img src="dota_deck_telescope_infobox.png" style="padding: 5px"/><img src="dota_deck_telescope_ability_1.png" style="padding: 5px"/><br /><a href="https://dota2.fandom.com/wiki/Telescope" style="font-weight: 700">Wiki Page</a>;Dota::Items::Neutral::Tier 4
<p style="font-weight: 700">Name the item, effects, and abilities:</p><br /><img src="dota_deck_the_leveller_icon.png"/>;<img src="dota_deck_the_leveller_infobox.png" style="padding: 5px"/><img src="dota_deck_the_leveller_ability_1.png" style="padding: 5px"/><br /><a href="https://dota2.fandom.com/wiki/The_Leveller" style="font-weight: 700">Wiki Page</a>;Dota::Items::Neutral::Tier 4
<p style="font-weight: 700">Name the item, effects, and abilities:</p><br /><img src="dota_deck_timeless_relic_icon.png"/>;<img src="dota_deck_timeless_relic_infobox.png" style="padding: 5px"/><br /><a href="https://dota2.fandom.com/wiki/Timeless_Relic" style="font-weight: 700">Wiki Page</a>;Dota::Items::Neutral::Tier 4
<p style="font-weight: 700">Name the item, effects, and abilities:</p><br /><img src="dota_deck_trickster_cloak_icon.png"/>;<img src="dota_deck_trickster_cloak_infobox.png" style="padding: 5px"/><img src="dota_deck_trickster_cloak_ability_1.png" style="padding: 5px"/><br /><a href="https://dota2.fandom.com/wiki/Trickster_Cloak" style="font-weight: 700">Wiki Page</a>;Dota::Items::Neutral::Tier 4
<p style="font-weight: 700">Name the item, effects, and abilities:</p><br /><img src="dota_deck_witchbane_icon.png"/>;<img src="dota_deck_witchbane_infobox.png" style="padding: 5px"/><img src="dota_deck_witchbane_ability_1.png" style="padding: 5px"/><img src="dota_deck_witchbane_ability_2.png" style="padding: 5px"/><br /><a href="https://dota2.fandom.com/wiki/Witchbane" style="font-weight: 700">Wiki Page</a>;Dota::Items::Neutral::Tier 4
